11.825, 10.2, 1
9.825, 9.7, 1
13.225, 14.7, 1
16.825, 7.15, 1
22.225, 12.45, 1
14.175, 7.45, 1
7.975, 3.5, 1
13.675, 8.85, 1
17.375, 13.25, 1
18.225, 5.85, 1
13.875, 14.15, 2
18.325, 8.65, 2
20.825, 14.55, 2
23.475, 17.05, 2
21.425, 7.85, 2
12.275, 6.95, 2
7.425, 13.05, 2
12.675, 14.7, 2
15.525, 11.45, 2
24.175, 10.3, 2
31.275, 15.05, 2
23.075, 4.8, 2
15.875, 2.65, 2
7.375, 16.8, 3
11.075, 11.25, 3
6.025, 11.45, 3
10.075, 4.8, 3
23.075, 11.25, 3
26.575, 13.4, 3
31.875, 5.45, 3
27.525, 11.3, 3
16.375, 10.95, 4
14.375, 6.65, 4
9.275, 4.5, 4
8.575, 9.6, 4
20.175, 14.15, 4
20.875, 3.8, 4
26.975, 6.55, 4
22.525, 8.55, 4
20.025, 12.25, 4
